name,cost_failure,customers_affected,value_lost_load,asset_type
2,4916.0,188,2224630.35,Trafo
5,6014.0,230,2507883.35,Trafo
8,4837.0,185,1863856.45,Trafo
11,4341.0,166,1443856.5,Trafo
13,1334.0,34,0.0,Trafo
14,4445.0,170,1638164.65,Trafo
15,1883.0,72,652719.05,Trafo
19,7374.0,282,3403134.6,Trafo
21,2589.0,0,281550.85,Trafo
24,4184.0,99,883650.65,Trafo
25,5360.0,160,903618.1,Trafo
28,7269.0,278,4016730.75,Trafo
32,3922.0,150,1760786.6,Trafo
33,3687.0,141,1223558.65,Trafo
38,2824.0,108,714644.55,Trafo
39,9544.0,365,2227574.15,Trafo
42,3423.0,119,2633087.2,Trafo
44,8812.0,337,1801057.6,Trafo
46,105.0,2,703128.2,Trafo
47,4707.0,0,810274.5,Trafo
48,12943.0,180,1407590.9,Trafo
51,4027.0,204,1579508.9,Trafo
52,2170.0,495,2561804.85,Trafo
53,5674.0,81,783013.05,Trafo
54,3373.0,140,1735496.25,Trafo
55,7243.0,2,296352.7,Trafo
56,3373.0,83,610540.6,Trafo
57,4184.0,217,1332857.5,Trafo
58,52.0,277,1515936.6,Trafo
59,3556.0,160,1000782.8,Trafo
60,78.0,109,2180810.3,Trafo
61,3425.0,1,1345.6,Trafo
62,1508.0,136,1236567.0,Trafo
73,1360.0,0,426930.75,Trafo
74_1,3373.0,168,1875852.0,Trafo
74_2,5334.0,168,0.0,Trafo
81,1229.0,3,461929.4,Trafo
88,157.0,52,241592.4,Trafo
12,6681.111638,241,2095855.55,Trafo
72,6681.111638,199,1567157.45,Trafo
