,index,LA,action,,,,
0,1,0.212,Keep the current maintenance,,,,
1,2,0.242,Keep the current maintenance,,,,
2,3,0.241,Keep the current maintenance,,,,
3,4,0.211,Keep the current maintenance,,,,
4,5,0.261,Keep the current maintenance,,,,
5,6,0.242,Keep the current maintenance,,,,
6,7,0,Replacement,,,,0.207864407
7,8,0.212,Keep the current maintenance,,,,
8,9,0.242,Keep the current maintenance,,,,0.127250833
9,10,0.241,Keep the current maintenance,,,,
10,11,0.261,Keep the current maintenance,,,,
11,12,0.211,Keep the current maintenance,,,,
12,13,0.252,Keep the current maintenance,,,,
13,14,0.223,Keep the current maintenance,,,,
14,15,0.354,Keep the current maintenance,,,,
15,16,0.43,Keep the current maintenance,,,,
16,17,0.406,Keep the current maintenance,,,,
17,18,0.382,Keep the current maintenance,,,,
18,19,0.25,Keep the current maintenance,,,,
19,20,0.388,Keep the current maintenance,,,,
20,21,0.211,Keep the current maintenance,,,,
21,22,0.363,Keep the current maintenance,,,,
22,23,0.336,Keep the current maintenance,,,,
23,24,0.292,Keep the current maintenance,,,,
24,25,0.427,Keep the current maintenance,,,,
25,26,0.291,Keep the current maintenance,,,,
26,27,0.29,Keep the current maintenance,,,,
27,28,0.2,Keep the current maintenance,,,,
28,29,0.201,Keep the current maintenance,,,,
29,30,0.05,Keep the current maintenance,,,,
30,31,0.15,Keep the current maintenance,,,,
31,32,0.05,Keep the current maintenance,,,,
32,33,0.05,Keep the current maintenance,,,,
33,34,0.45,Keep the current maintenance,,,,
34,35,0,Replacement,,,,
35,36,0,Keep the current maintenance,,,,
36,37,0,Keep the current maintenance,,,,
37,38,0,Keep the current maintenance,,,,
38,39,0.198,Keep the current maintenance,,,,
39,40,0,Keep the current maintenance,,,,
40,41,0.061,Keep the current maintenance,,,,
41,42,0.174,Keep the current maintenance,,,,
42,43,0.174,Keep the current maintenance,,,,
43,44,0.268,Keep the current maintenance,,,,
44,45,0.268,Keep the current maintenance,,,,
45,46,0.23,Keep the current maintenance,,,,
46,47,0.23,Keep the current maintenance,,,,
47,48,0.05,Keep the current maintenance,,,,
48,49,0.285,Keep the current maintenance,,,,
49,50,0,Keep the current maintenance,,,,
50,51,0.204,Keep the current maintenance,,,,
51,52,0.298,Keep the current maintenance,,,,
52,53,0.427,Keep the current maintenance,,,,
53,54,0,Keep the current maintenance,,,,
54,55,0.025,Keep the current maintenance,,,,
55,56,0.223,Keep the current maintenance,,,,
56,57,0.223,Keep the current maintenance,,,,
57,58,0.152,Keep the current maintenance,,,,
58,59,0.152,Keep the current maintenance,,,,
